ID,Site_name,Start_date,End_date,True_date,Value
1,Site A,700,775,758.8431449898053,7.3
2,Site A,475,649,476.6408034870401,17.9
3,Site A,625,700,683.4299412090331,8.7
4,Site A,675,774,747.2096745399758,6.7
5,Site B,100,499,351.42260927241296,16.3
6,Site D,225,675,441.4098734850995,20.8
7,Site B,350,675,400.9069766965695,14.3
8,Site B,300,774,303.89415640057996,15.6
9,Site A,625,750,681.5572992782108,14.2
10,Site D,625,800,711.1513325304259,15.3
11,Site C,625,724,663.5691240422893,15.1
12,Site D,575,700,633.0832427367568,15.1
13,Site C,650,799,756.2785711067263,4.8
14,Site D,625,675,627.7650963165797,11.9
15,Site A,400,475,426.6087323136162,19
16,Site A,200,424,379.8299491330981,20.4
17,Site B,350,375,370.8927209256217,18
18,Site D,450,475,455.9437351243105,16.8
19,Site B,600,700,635.3986102622002,17.3
20,Site B,125,574,509.74155365116894,21.3
21,Site C,700,799,784.522574006347,9.3
22,Site C,225,724,372.6518322471529,21.4
23,Site A,100,650,180.87657851865515,6.6
24,Site A,425,524,494.69521407037973,21.1
25,Site C,475,724,500.8478653661441,17.9
26,Site D,500,699,506.7118268269114,20.8
27,Site A,350,575,574.8660187877249,16
28,Site C,525,575,526.743740204256,19.9
29,Site A,650,675,658.4597820939962,15.4
30,Site A,125,575,536.778692738153,18
31,Site D,325,499,432.39893691567704,22.5
32,Site B,175,374,231.9707843917422,8.7
33,Site D,575,724,684.9318130484316,9.2
34,Site D,450,524,511.7200188790448,22.7
35,Site C,250,275,257.85676951054484,13.7
36,Site B,500,525,512.3141636955552,13.8
37,Site A,200,524,425.94910025503486,16.4
38,Site B,625,650,641.036558849737,12.3
39,Site D,575,775,703.7845829967409,12.6
40,Site B,525,575,573.8926702411845,15.9
41,Site C,300,575,414.05221697641537,21.2
42,Site C,350,500,367.91071699699387,20.5
43,Site B,225,450,343.3566735300701,21.2
44,Site B,325,650,398.14883901854046,19.4
45,Site D,300,475,385.1220587093849,18.7
46,Site D,650,700,668.5107399243861,7.3
47,Site D,550,650,648.3350180787966,12.7
48,Site B,300,575,406.7877566674724,18
49,Site B,350,500,384.38672604970634,16.3
50,Site A,550,574,564.9591411110014,16.2
51,Site D,600,675,610.2405147801619,16.9
52,Site A,175,525,513.6143230134621,13.9
53,Site D,325,599,466.1296753631905,18.9
54,Site B,625,775,649.4605493848212,12.7
55,Site D,700,750,731.0951147577725,7.4
56,Site B,625,850,846.8396871758159,9.1
57,Site C,500,825,717.3507431754842,11
58,Site D,600,799,683.364263484953,11
59,Site C,375,549,431.26202881196514,13.7
60,Site A,600,750,725.2882979926653,16.2
61,Site A,225,524,268.0012960454915,12.7
62,Site B,450,700,498.203986720182,21
63,Site B,300,625,591.4400718582328,16
64,Site B,325,700,440.5448328645434,22.5
65,Site B,675,849,738.2142945709638,11.5
66,Site B,525,725,681.7892957478762,10.6
67,Site D,650,699,659.4755553160794,13
68,Site C,250,724,258.42099482985213,10.4
69,Site B,425,749,556.740948677063,19.2
70,Site A,375,625,495.7919173175469,18.2
71,Site B,600,699,641.7626500676852,18.8
72,Site C,550,575,558.5702200420201,12.8
73,Site B,325,749,692.3889254163951,9.6
74,Site B,700,750,722.755402547773,11.9
75,Site B,700,750,726.6882436815649,11
76,Site D,200,425,416.8647496786434,18.2
77,Site A,125,300,260.5535198643338,10.4
78,Site A,150,450,212.66290456987917,11.3
79,Site A,125,425,217.63604981824756,11.1
80,Site C,425,625,619.2684900481254,9.4
81,Site D,475,550,518.8675070123281,18.7
82,Site A,175,399,345.4244920834899,17.6
83,Site B,675,850,740.2241440257058,9.9
84,Site A,600,824,772.2994361147285,6.3
85,Site A,675,875,782.5354366097599,9.9
86,Site D,225,300,293.54965872480534,18
87,Site D,575,674,593.3443477475084,16.3
88,Site A,600,699,627.9396233211737,10.6
89,Site C,575,624,579.6531582463067,14.8
90,Site C,350,425,365.78653093311004,18.9
91,Site A,100,675,661.8319228640758,10.3
92,Site D,425,649,491.3716872856021,14.1
93,Site A,100,475,372.243635088671,20.5
94,Site D,175,549,468.8472500122152,17.8
95,Site D,400,625,423.71899287682027,18.4
96,Site B,225,475,284.8986572586,17.8
97,Site A,625,749,658.5475641759112,10.1
98,Site D,375,525,390.15877411002293,21.1
99,Site B,250,325,258.8435380952433,9.7
100,Site B,375,550,548.4663972747512,16.5
101,Site B,200,700,693.0271486518905,10.6
102,Site D,525,775,559.2668678495102,14
103,Site A,250,325,317.89821862475947,14.2
104,Site B,400,774,615.5368872522376,14
105,Site A,625,775,684.3173288623802,12.7
106,Site B,125,549,315.7162532713264,11.5
107,Site D,150,324,272.93133080005646,12.6
108,Site C,100,400,124.75082373712212,10.7
109,Site D,450,700,534.8281450453214,16.7
110,Site A,575,700,660.0984439020976,12.5
111,Site D,350,499,397.2254379640799,20.4
112,Site A,300,625,570.2597943658475,17
113,Site D,625,750,651.8965103314258,14
114,Site C,325,524,424.09183830115944,19.5
115,Site B,250,674,367.0450611934066,17.1
116,Site B,550,625,564.4017489044927,10
117,Site C,525,575,572.5310632027686,16
118,Site A,700,774,723.8076897948049,10.9
119,Site A,375,650,506.5755055460613,20.4
120,Site B,325,575,331.99814298423007,15.1
121,Site C,300,575,450.5513537034858,24.4
122,Site D,550,650,614.4240220542997,14.8
123,Site D,450,475,464.9065886158496,20.2
124,Site B,425,575,473.2906063552946,23
125,Site D,650,825,805.9450046799611,6.7
126,Site A,150,649,462.5022167554125,18.8
127,Site A,625,700,647.7178686473053,18.5
128,Site D,575,750,642.935816157842,12.8
129,Site A,325,625,373.14252774231136,22.4
130,Site A,125,424,382.9030173618812,15.1
131,Site A,650,700,697.6550606894307,10.1
132,Site B,500,674,598.0741749210283,15.9
133,Site C,525,624,557.6251939258073,17.7
134,Site A,550,724,723.411396055948,7.3
135,Site B,425,575,460.2229513693601,20
136,Site D,500,774,667.8721184832975,9
137,Site D,325,449,338.41413764841855,18.6
138,Site A,200,574,382.1501811593771,21.4
139,Site C,400,699,429.7343011808116,14.3
140,Site B,525,725,557.233152538538,20.1
141,Site A,550,800,620.748217694927,10.7
142,Site A,550,675,622.9840419953689,14.8
143,Site B,325,525,471.34153177030385,21.5
144,Site A,475,550,487.4140683328733,19.1
145,Site A,125,449,405.7355552781373,17.8
146,Site C,175,575,458.42965487390757,20.4
147,Site D,700,750,738.0199768114835,10.6
148,Site B,250,475,283.09392442461103,16.2
149,Site C,100,375,198.4656649408862,5.3
150,Site B,425,799,676.8263480481692,7.2
151,Site B,575,674,626.8584375635255,17.1
152,Site D,625,725,659.9801792763174,14.6
153,Site A,550,650,574.0530701586977,17.3
154,Site C,375,550,385.18356435233727,20.6
155,Site A,550,650,573.6619742121547,18.5
156,Site A,225,375,358.51168697699904,11.1
157,Site A,375,550,517.0697978115641,21.5
158,Site C,700,750,737.3758161091246,8.3
159,Site C,325,425,340.4911725781858,17.5
160,Site D,250,600,293.6597310123034,13.8
161,Site A,550,700,696.2088712723926,12.8
162,Site B,700,725,710.903249902185,9.3
163,Site B,125,700,391.80956042255275,20.3
164,Site C,225,450,262.19206827809103,12
165,Site B,300,350,329.2468278668821,13.6
166,Site D,675,700,681.769450486172,14.2
167,Site C,350,549,395.78928715828806,21
168,Site C,225,575,466.92274102242664,24.2
169,Site B,200,325,235.35654995357618,12
170,Site A,425,575,546.5597099275328,20.3
171,Site D,325,575,348.4791517723352,22.2
172,Site A,450,650,614.4060142338276,13.4
173,Site D,100,599,313.28671207022853,12.2
174,Site B,300,474,431.52438319288194,19.3
175,Site A,325,624,523.053266460076,18
176,Site B,500,750,611.1318492330611,14.6
177,Site C,375,600,516.1078914999962,23
178,Site B,625,750,625.0581686326768,12.8
179,Site B,100,549,197.54233779665083,11.4
180,Site D,350,550,490.97444913350046,18.9
181,Site B,700,799,721.3014823314734,10
182,Site B,175,700,602.315203670878,15.5
183,Site B,150,499,257.4095921299886,16.1
184,Site C,600,825,754.7421042749193,9.5
185,Site B,225,800,761.2916204379871,10.8
186,Site D,200,600,246.31186593323946,14.2
187,Site D,325,575,356.9264219724573,20
188,Site C,575,675,642.8223857423291,11.3
189,Site B,125,324,210.36077058152296,14.9
190,Site B,650,674,670.0256234705448,10.6
191,Site C,175,450,442.1454683702905,19.7
192,Site D,700,775,705.2866733283736,13.9
193,Site B,700,799,745.5187341272831,12.6
194,Site D,575,725,680.2377677639015,8.5
195,Site D,300,674,332.515622808598,14.3
196,Site B,425,450,449.8236004030332,16.6
197,Site A,425,600,469.29232395486906,20.3
